fold,train_end,test_start,test_end,MAE,RMSE,R2,MAPE_%,RMSLE,baseline_weekly_RMSE,baseline_improved_RMSE,baseline_seasonal_RMSE,skill_vs_weekly_RMSE,skill_vs_improved_RMSE,skill_vs_seasonal_RMSE,blend_w_residual,selected_strategy,val_RMSE_base_only,val_RMSE_residual_only,val_RMSE_direct_only,val_RMSE_blend,val_RMSE_selected
14,2020-02-29,2020-03-01,2020-04-30,20.977742081614362,26.104382134958623,-0.050253634252249046,20.482273805599206,0.22456786860965322,31.877840599881846,27.746410863609853,68.89038572908153,0.18111196857370013,0.05917986065739384,0.6210736540565069,0.0,direct_only,23.145548788042344,22.405776898192975,20.63901303480186,20.63901303480186,20.63901303480186
15,2020-04-30,2020-05-01,2020-06-30,33.57778169636893,41.39213110682878,0.14204786091900323,16.76794300546051,0.21383788117580022,45.90564092627898,40.04935130672831,53.4958631769708,0.09832146395033582,-0.033528128578573964,0.22625547755162692,0.45,blend,26.039035166399916,25.918437928504005,25.730580129875648,25.34096749906319,25.34096749906319
16,2020-06-30,2020-07-01,2020-08-31,21.276315765698705,30.12155306218265,-0.575674190600503,25.651894608960774,0.29701380315013715,48.380547943929265,33.01213131105749,46.25128594550538,0.3774036396385571,0.08756109145569262,0.34874128477913574,0.15,blend,38.687414513057156,38.36448813043136,37.54226672479967,37.474789532383724,37.474789532383724
17,2020-08-31,2020-09-01,2020-10-31,21.019094031004183,26.14457859134514,-0.08517787324920967,23.0380750791584,0.26244133734748853,35.67567936789229,27.054929873501962,55.6675583188299,0.26715961532956917,0.03364825879842453,0.5303444343363345,0.3,blend,36.50947137258996,36.23035492372777,34.76436665653375,34.36430047489815,34.36430047489815
18,2020-10-31,2020-11-01,2020-12-31,17.428959830986432,20.45429707064889,0.013068633407595898,19.742790929205594,0.21663447956694812,25.28752689357824,22.895227515874403,45.36527523030486,0.19113098102751774,0.10661306787770912,0.5491199608773665,0.0,direct_only,25.922032050529566,25.400052564805826,23.8905758944117,23.8905758944117,23.8905758944117
19,2020-12-31,2021-01-01,2021-02-28,20.846027279519312,26.317402828036872,0.05502042361122905,18.47989915054465,0.22435184639238812,39.4689322147115,27.78523175556755,36.921526953017164,0.3332121911768512,0.05282766544628724,0.28720708486607543,0.15,blend,23.613493544387286,22.035480994889447,20.790459856564144,20.788687756277632,20.788687756277632
20,2021-02-28,2021-03-01,2021-04-30,24.940152183939905,31.30474112633669,0.4889740488175295,16.594795044958712,0.19592476322012045,34.84509044139292,31.48960019086505,54.28759934481309,0.10160252908543477,0.005870479885673089,0.42335374000420406,0.3,blend,27.262232178487334,26.5114310810186,24.572603047305012,24.31463994002528,24.31463994002528
21,2021-04-30,2021-05-01,2021-06-30,31.741758549932285,39.32796178947112,0.6491815739394144,19.420021627816105,0.2270716682527871,62.6270511918261,40.956218197547955,80.4809314550276,0.372029162461922,0.03975602435320359,0.5113381383831596,0.15,blend,30.888537279805192,30.490433927791322,28.47048977826223,28.398481028922593,28.398481028922593
22,2021-06-30,2021-07-01,2021-08-31,25.965123273805975,32.329982107824854,0.23956403299049922,24.267692135306497,0.28795803013799937,44.89539814049485,33.20036103473068,46.17825734707735,0.279882049232485,0.026215947651753887,0.2998873503425733,0.45,blend,41.51299197551679,40.00220722466458,39.889283286878076,38.86820073765942,38.86820073765942
23,2021-08-31,2021-09-01,2021-10-31,19.944265087123437,25.626617235632207,0.39092358287911444,24.101806566550483,0.2729282807022463,33.100690894676475,23.04927176196437,33.33836710625575,0.22579811650536608,-0.11181895464137574,0.23131756411598456,0.45,blend,31.757785266410767,31.048206889691112,30.545440252095855,30.246837668038918,30.246837668038918
24,2021-10-31,2021-11-01,2021-12-31,14.305214903556955,17.59071580497416,-0.022108595413760312,15.189523447770819,0.18083560219804537,23.535811569383117,18.96942534897644,21.138981938046335,0.2525978654648441,0.07268061729011065,0.16785416362393213,0.75,blend,24.00567828109799,23.223978645046145,24.737430123768952,23.19441178011047,23.19441178011047
25,2021-12-31,2022-01-01,2022-02-28,17.934698669732004,25.815768074561554,0.5432790459711951,16.71936162032677,0.21823719869542474,49.9922027818644,23.926678087202887,48.172535955033375,0.4836041094807148,-0.07895329140441942,0.46409779840822024,0.45,blend,18.76637935756176,17.25180579861525,16.95882189769843,16.738468595127614,16.738468595127614
26,2022-02-28,2022-03-01,2022-04-30,15.065914254403802,19.985046057707525,0.4300706662399757,9.638886104693237,0.13144396067984515,24.131810174437433,19.65583218689284,37.900322244401934,0.17183808784980958,-0.01674891542034096,0.4726945610426989,1.0,residual_only,22.382623126388,22.154886045650677,25.58038656407903,22.154886045650677,22.154886045650677
27,2022-04-30,2022-05-01,2022-06-30,16.78721941783906,23.86242510389729,0.1417019971751926,10.427093035686683,0.14560624830655428,28.598119851074014,23.774303454184498,67.82601899314905,0.16559461852170929,-0.003706592282823865,0.6481818414507332,0.75,blend,19.16983938397102,18.985624416116725,19.98636126643656,18.954862411626515,18.954862411626515
28,2022-06-30,2022-07-01,2022-08-31,18.64410515869403,25.625469504640566,0.26824643167479767,14.221882400049152,0.18794919659568673,30.013437850617898,25.978228833315647,47.07072578372307,0.14620012435153257,0.013579036928902803,0.45559646514943297,0.6,blend,22.99582886046046,22.95645689957621,23.336797842623035,22.647029156756723,22.647029156756723
29,2022-08-31,2022-09-01,2022-10-31,19.734796638337038,27.110882991782162,0.21420980583002447,12.666065825572858,0.17912627989481808,34.093170317456284,28.40745437865885,58.93386818860723,0.20480017729823946,0.04564194206189558,0.5399778798666556,0.6,blend,26.290234778978395,25.80461670257934,26.058854392040644,25.47328367388748,25.47328367388748
30,2022-10-31,2022-11-01,2022-12-31,16.520626970737275,23.390718179314927,0.5433704094732008,10.348333525166328,0.1452209848876139,29.982508562028816,24.280548930630545,68.06584324309398,0.21985453182066378,0.03664788443860398,0.6563515992040814,0.45,blend,25.961292893535983,25.453407121936618,25.10901726026522,24.920285466681797,24.920285466681797
